ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
201516,VA1M00800D,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,SA1M00900B,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,BS1M00100P,SCUOLA SECONDARIA I GRADO,1,11 anni,24
201516,NA1M040001,SCUOLA SECONDARIA I GRADO,1,11 anni,9
201516,FE1MFE500C,SCUOLA SECONDARIA I GRADO,1,11 anni,14
201516,RM1M14100L,SCUOLA SECONDARIA I GRADO,3,13 anni,8
201516,BO1M00400G,SCUOLA SECONDARIA I GRADO,3,13 anni,19
201516,PR1M003001,SCUOLA SECONDARIA I GRADO,1,11 anni,44
201516,TO1M02800R,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,FI1M02600E,SCUOLA SECONDARIA I GRADO,3,13 anni,18
201516,BS1M01600C,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,RM1M06300L,SCUOLA SECONDARIA I GRADO,1,11 anni,28
201516,RM1M08000A,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,MI1M056001,SCUOLA SECONDARIA I GRADO,2,12 anni,18
201516,TV1M014007,SCUOLA SECONDARIA I GRADO,3,13 anni,17
201516,BG1M02400V,SCUOLA SECONDARIA I GRADO,1,11 anni,66
201516,NA1M007009,SCUOLA SECONDARIA I GRADO,2,12 anni,7
201516,AP1MUM500N,SCUOLA SECONDARIA I GRADO,1,11 anni,15
201516,VA1M018004,SCUOLA SECONDARIA I GRADO,2,12 anni,9
201516,MI1M012007,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,UD1M00600L,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,CR1M00500B,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,BS1M005002,SCUOLA SECONDARIA I GRADO,2,13 anni,4
201516,TV1M00400L,SCUOLA SECONDARIA I GRADO,3,13 anni,82
201516,FI1M001006,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,7
201516,VI1M017002,SCUOLA SECONDARIA I GRADO,1,11 anni,28
201516,NA1M02600P,SCUOLA SECONDARIA I GRADO,3,13 anni,12
201516,SV1M00400G,SCUOLA SECONDARIA I GRADO,1,11 anni,41
201516,BO1MZN5006,SCUOLA SECONDARIA I GRADO,2,12 anni,36
201516,FI1M02100B,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
201516,RM1M128006,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,CO1MCB500P,SCUOLA SECONDARIA I GRADO,2,12 anni,10
201516,RM1M04200G,SCUOLA SECONDARIA I GRADO,3,13 anni,42
201516,PR1M00400R,SCUOLA SECONDARIA I GRADO,1,11 anni,18
201516,BS1M017008,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,8
201516,GE1M027007,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,TO1M042003,SCUOLA SECONDARIA I GRADO,3,13 anni,30
201516,MI1M04400P,SCUOLA SECONDARIA I GRADO,3,12 anni,5
201516,MI1M08100N,SCUOLA SECONDARIA I GRADO,3,13 anni,16
201516,GE1M00300P,SCUOLA SECONDARIA I GRADO,2,12 anni,35
201516,VI1M003004,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,PA1M01100T,SCUOLA SECONDARIA I GRADO,3,13 anni,14
201516,FO1M00500P,SCUOLA SECONDARIA I GRADO,3,13 anni,17
201516,VA1M00800D,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,MI1M06600G,SCUOLA SECONDARIA I GRADO,1,11 anni,43
201516,CO1M001001,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,AL1M00200Q,SCUOLA SECONDARIA I GRADO,1,11 anni,15
201516,RM1M03400L,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,5
201516,CZ1M002007,SCUOLA SECONDARIA I GRADO,2,13 anni,2
201516,PD1M00300P,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,TO1M055005,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,RM1M12400V,SCUOLA SECONDARIA I GRADO,3,13 anni,20
201516,RM1M08500D,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,RE1M002007,SCUOLA SECONDARIA I GRADO,2,12 anni,26
201516,ME1MU5500F,SCUOLA SECONDARIA I GRADO,2,12 anni,13
201516,RI1M00200E,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,MI1M05100T,SCUOLA SECONDARIA I GRADO,2,11 anni,4
201516,MI1M10600R,SCUOLA SECONDARIA I GRADO,3,13 anni,8
201516,CT1MHE500T,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,TO1M041007,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,5
201516,UD1M009004,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,MI1M00600X,SCUOLA SECONDARIA I GRADO,2,12 anni,29
201516,PD1M00800T,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,5
201516,RM1M02600N,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
201516,CO1M01800A,SCUOLA SECONDARIA I GRADO,1,12 anni,3
201516,TO1M012007,SCUOLA SECONDARIA I GRADO,1,11 anni,22
201516,NA1M03400N,SCUOLA SECONDARIA I GRADO,1,11 anni,18
201516,PV1MPM500O,SCUOLA SECONDARIA I GRADO,3,13 anni,16
201516,RA1M001001,SCUOLA SECONDARIA I GRADO,1,13 anni,1
201516,RM1M010004,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,VR1M01000G,SCUOLA SECONDARIA I GRADO,1,11 anni,20
201516,MI1M09400Q,SCUOLA SECONDARIA I GRADO,1,11 anni,16
201516,FI1M010001,SCUOLA SECONDARIA I GRADO,2,12 anni,20
201516,RM1M04700P,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,SR1M00200P,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,TO1M054009,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,LC1M05000X,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
201516,BG1MVN5002,SCUOLA SECONDARIA I GRADO,3,13 anni,16
201516,MI1M06600G,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,TO1M050002,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,5
201516,AL1M00200Q,SCUOLA SECONDARIA I GRADO,2,12 anni,10
201516,VR1M02900L,SCUOLA SECONDARIA I GRADO,3,13 anni,34
201516,VR1M020006,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,MI1M083009,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,LO1MOF5006,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,MI1M027001,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,NA1MU75009,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,13
201516,BO1M01000V,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,PA1M02400X,SCUOLA SECONDARIA I GRADO,1,11 anni,8
201516,CT1M01600C,SCUOLA SECONDARIA I GRADO,2,11 anni,6
201516,VA1MAR500M,SCUOLA SECONDARIA I GRADO,2,12 anni,11
201516,VI1M011003,SCUOLA SECONDARIA I GRADO,2,12 anni,17
201516,PD1M01000T,SCUOLA SECONDARIA I GRADO,1,12 anni,3
201516,MI1M021002,SCUOLA SECONDARIA I GRADO,3,13 anni,61
201516,PV1M00500T,SCUOLA SECONDARIA I GRADO,2,13 anni,4
